path,error
L03192.xml,"ID XXXX already defined, line 139, column 269 (L03192.xml, line 139)"
L03193.xml,"ID XXXX already defined, line 147, column 240 (L03193.xml, line 147)"
L03195.xml,"ID XXXX already defined, line 168, column 361 (L03195.xml, line 168)"
L03196.xml,"ID XXXX already defined, line 142, column 549 (L03196.xml, line 142)"
L03197.xml,"ID XXXX already defined, line 147, column 263 (L03197.xml, line 147)"
L03199.xml,"ID XXXX already defined, line 135, column 182 (L03199.xml, line 135)"
L03204.xml,"ID XXXX already defined, line 172, column 93 (L03204.xml, line 172)"
L03216.xml,"ID XXXX already defined, line 156, column 544 (L03216.xml, line 156)"
L03219.xml,"ID XXXX already defined, line 141, column 246 (L03219.xml, line 141)"
L03228.xml,"ID XXXX already defined, line 136, column 97 (L03228.xml, line 136)"
L03229.xml,"ID XXXX already defined, line 142, column 253 (L03229.xml, line 142)"
